  
       XFOIL         Version 6.99
  
 Calculated polar for: NACA 2412                                       
  
 1 1 Reynolds number fixed          Mach number fixed         
  
 xtrf =   1.000 (top)        1.000 (bottom)  
 Mach =   0.000     Re =     0.200 e 6     Ncrit =   9.000
  
   alpha    CL        CD       CDp       CM     Top_Xtr  Bot_Xtr
  ------ -------- --------- --------- -------- -------- --------
  -5.000  -0.4440   0.01696   0.00910  -0.0326   0.9892   0.1012
  -4.000  -0.2831   0.01488   0.00731  -0.0437   0.9703   0.1744
  -1.000   0.1160   0.01010   0.00515  -0.0527   0.8804   0.8777
   0.000   0.2825   0.00998   0.00478  -0.0608   0.8320   0.9790
   1.000   0.4222   0.00981   0.00418  -0.0663   0.7641   1.0000
   2.000   0.5162   0.01010   0.00407  -0.0625   0.6925   1.0000
   3.000   0.6110   0.01068   0.00433  -0.0587   0.6256   1.0000
   4.000   0.7057   0.01144   0.00483  -0.0549   0.5612   1.0000
   5.000   0.7997   0.01228   0.00552  -0.0511   0.4918   1.0000
   6.000   0.8917   0.01328   0.00638  -0.0471   0.4122   1.0000
   7.000   0.9769   0.01477   0.00760  -0.0424   0.3033   1.0000
   8.000   1.0467   0.01776   0.00993  -0.0362   0.1646   1.0000
   9.000   1.1050   0.02173   0.01352  -0.0286   0.0961   1.0000
  11.000   1.2029   0.03060   0.02252  -0.0128   0.0579   1.0000
  15.000   1.2830   0.06598   0.06018   0.0052   0.0373   1.0000
